line,method,path,function_name,domain,risk,uses_subprocess,uses_systemctl,uses_storage,uses_safety,uses_mount,uses_dcc_aggregation,uses_file_scan,recommended_action
6721,POST,/api/system/asus-rog/fan/set-profile,set_asus_fan_profile_api,runtime,high,yes,no,no,no,no,no,no,unsafe
6763,GET,/api/system/asus-rog/detection,get_asus_rog_detection,runtime,high,yes,no,no,no,no,no,no,keep_until_facade
6778,GET,/api/dashboard/services-status,dashboard_services_status,runtime,high,yes,no,no,no,no,no,no,keep_until_facade
6815,GET,/api/system/resources,get_system_resources,runtime,high,yes,no,no,no,no,no,no,keep_until_facade
6879,GET,/api/users,list_users,frontend_support,high,yes,no,no,no,no,no,no,keep_until_facade
6933,PUT,/api/user-profile,update_user_profile_put,frontend_support,high,yes,no,no,no,no,no,no,already_extracted
6938,POST,/api/user-profile,update_user_profile_post,frontend_support,high,yes,no,no,no,no,no,no,already_extracted
6943,GET,/api/users/sudo-password/check,check_sudo_password,frontend_support,high,yes,no,no,no,no,no,no,keep_until_facade
6955,POST,/api/users/sudo-password,save_sudo_password,frontend_support,high,yes,no,no,no,no,no,no,unsafe
7056,POST,/api/users/create,create_user,frontend_support,high,yes,no,no,no,no,no,no,unsafe
7186,DELETE,/api/users/{username},delete_user,frontend_support,high,yes,no,no,no,no,no,no,unsafe
7284,POST,/api/security/scan,security_scan,security,high,yes,yes,no,no,no,no,no,unsafe
7407,GET,/api/security/status,security_status,security,high,yes,no,no,no,no,no,no,keep_until_facade
